Subject,Catalog,Title,preq1 subject,preq1 catalog,pereq1 title ,Co /Pre,AND/OR,preq2 sub,preq2 cat,pereq2 title ,Co /Pre,AND/OR,preq3 no,preq3 cat,pereq3 title ,Co /Pre,AND/OR,preq4 no,preq4 cat,pereq4 title ,Co /Pre,
BIO,F110,BIOLOGICAL LABORATORY,,,,,,,,,,,,,,,,,,,,
BIO,F111,GENERAL BIOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,F211,BIOLOGICAL CHEMISTRY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F212,MICROBIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F213,CELL BIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F214,INTEGRATED BIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F215,BIOPHYSICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F241,ECOLOGY & ENVIRON SCI,,,,,,,,,,,,,,,,,,,,
BIO,F242,INTRO TO BIOINFORMATICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F243,GENETICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F244,INSTRU METHODS OF ANAL,BIO,    F110,BIOLOGICAL LABORATORY,PRE,,,,,,,,,,,,,,,,
BIO,F312,PLANT PHYSIOLOGY,BIO,    F211,BIOLOGICAL CHEMISTRY,PRE,AND,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,
BIO,F313,ANIMAL PHYSIOLOGY,BIO,    F211,BIOLOGICAL CHEMISTRY,PRE,AND,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,
BIO,F341,DEVELOPMENTAL BIOLOGY,BIO,    F243,GENETICS,PRE,AND,BIO,    F213,CELL BIOLOGY,PRE,,,,,,,,,,,
BIO,F342,IMMUNOLOGY,BIO,    F212,MICROBIOLOGY,PRE,AND,BIO,    F213,CELL BIOLOGY,PRE,,,,,,,,,,,
BIO,F352,CELL & TISSUE CULTR TECH,,,,,,,,,,,,,,,,,,,,
BIO,F413,MOLECULAR BIO OF CELL,,,,,,,,,,,,,,,,,,,,
BIO,F418,GENETIC ENGINEERING TECH,,,,,,,,,,,,,,,,,,,,
BIO,F419,MOLECULAR EVOLUTION,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F431,REPRODUCTIVE  PHYSIOLOGY,BIO,    F313,ANIMAL PHYSIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F441,BIOCHEMICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,
BIO,F451,BIOPROCESS TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,G515,STEM CELL AND GENERATIBE BIOLOGY  ,BIO ,F341,DEVELOPMENTAL BIOLOGY,CO,,,,,,,,,,,,,,,,
BIO,G526,CANCER BIOLOGY,BIO ,F243,GENETICS,PRE,,,,,,,,,,,,,,,,
BIO,G545,MOLECULAR PARASITOLOGY AND VECTOR BIOLOGY,BIO ,F342,IMMUNOBIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,G561,ADVANCES IN RECOMBINANT DNA TECH,BIO,F311,RECOMBINANT DNA TECH,,,,,,,,,,,,,,,,,
BIO,G561,ADVANCES IN RECOMBINANT DNA TECHNOLOGY,BIO,F311,RECOMBINANT DNA TECHNOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,G570,RECENT DEVELOPMENTS IN BIOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,G612,HUMAN GENETICS,BIO ,F243,GENETICS,PRE,AND,BIO,F311,RECOMBINANT DNA TECH,CO-REQ,,,,,,,,,,,
BIO,G612,HUMAN GENETICS,BIO ,F243,GENETICS,PRE,AND,BIO,F 311,RECOMBINANT DNA TECHNOLOGY,CO-REQ,,,,,,,,,,,
BIOT,F211,BIOLOGICAL CHEMISTRY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F212,MICROBIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F213,CELL BIOLOGY,,,,,,,,,,,,,,,,,,,,
BIOT,F215,BIOPHYSICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F241,GENETIC ENGINEERING TECH,,,,,,,,,,,,,,,,,,,,
BIOT,F242,INTRO TO BIOINFORMATICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F243,GENETICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F244,INSTRU METHODS OF ANAL,BIO,    F110,BIOLOGICAL LABORATORY,PRE,,,,,,,,,,,,,,,,
BIOT,F245,INTRO TO ENVIRON BIOTECH,BIO,F111,GENERAL BIOLOGY,PRE,AND,BIOT,F212,MICROBIOLOGY,PRE,,,,,,,,,,,
BIOT,F311,RECOMBINANT DNA TECH,BIOT,F211,BIOLOGICAL CHEMISTRY,PRE,AND,BIOT,F243,GENETICS,PRE,,,,,,,,,,,
BIOT,F314,INDUS MICROBIO & BIOPRO ENGG,BIO,F111,GENERAL BIOLOGY,PRE,AND,BIOT,F212,MICROBIOLOGY,PRE,,,,,,,,,,,
BIOT,F342,IMMUNOLOGY,BIOT,F212,MICROBIOLOGY,PRE,AND,BIOT,    F213,CELL BIOLOGY,PRE,,,,,,,,,,,
BIOT,F343,EXPERIMENTS IN BIOTECH,BIOT,F241,GENETIC ENGINEERING TECH,PRE,AND,,,,,,,,,,,,,,,
BIOT,F344,DOWNSTREAM PROCESSING,BIO,F111,GENEARL BIOLOGY,PRE,AND,BIOT,F212,MICROBIOLOGY,PRE,,,,,,,,,,,
BIOT,F345,PROTEOMICS,,,,,,,,,,,,,,,,,,,,
BIOT,F346,GENOMICS,,,,,,,,,,,,,,,,,,,,
BIOT,F347,IMMUNOTECHNOLOGY,BIOT,F342,IMMUNOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F352,CELL & TISSUE CULTR TECH,,,,,,,,,,,,,,,,,,,,
BIOT,F413,MOLECULAR BIO OF CELL,,,,,,,,,,,,,,,,,,,,
BIOT,F416,INTRO TO PHARMA BIOTECH,,,,,,,,,,,,,,,,,,,,
BIOT,F417,BIOMOLECULAR MODELING,BIOT,F211,BIOLOGICAL CHEMISTRY,PRE,,,,,,,,,,,,,,,,
BIOT,F420,INTRO TO PLANT BIOTECH,,,,,,,,,,,,,,,,,,,,
BIOT,F422,NANOBIOTECHNOLOGY,BIO,F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F423,DRUG DESIGN AND DELIVERY,CHEM,F111,GENERAL CHEMISTRY,PRE,,,,,,,,,,,,,,,,
BIOT,F424,FOOD BIOTECHNOLOGY,BIOT,F212,MICROBIOLOGY,PRE,,,,,,,,,,,,,,,,
BITS,F110,ENGINEERING GRAPHICS,,,,,,,,,,,,,,,,,,,,
BITS,F111,THERMODYNAMICS,,,,,,,,,,,,,,,,,,,,
BITS,F112,TECH REPORT WRITING,,,,,,,,,,,,,,,,,,,,
BITS,F113,GENERAL MATHEMATICS-I,,,,,,,,,,,,,,,,,,,,
BITS,F114,GENERAL MATHEMATICS-II,,,,,,,,,,,,,,,,,,,,
BITS,F214,"SCIENCE, TECHNOLOGY AND MODERNITY",,,,,,,,,,,,,,,,,,,,
BITS,F218,GENERAL MATHEMATICS-III,,,,,,,,,,,,,,,,,,,,
BITS,F219,PROCESS ENGINEERING,,,,,,,,,,,,,,,,,,,,
BITS,F221,PRACTICE SCHOOL I,,,,,,,,,,,,,,,,,,,,
BITS,F223,OBJECT ORIENTED PROG,,,,,,,,,,,,,,,,,,,,
BITS,F311,IMAGE PROCESSING,,,,,,,,,,,,,,,,,,,,
BITS,F312,NEURAL NET & FUZZY LOGIC,,,,,,,,,,,,,,,,,,,,
BITS,F312,NEURAL NETWORKS AND FUZZY LOGIC,,,,,,,,,,,,,,,,,,,,
BITS,F313,MULTICRI DE MAK IN E & M,,,,,,,,,,,,,,,,,,,,
BITS,F316,NONLINEAR DYNA & CHAOS,MATH,    F111,MATHEMATICS-I,PRE,AND,MATH,    F112,MATHEMATICS-II,PRE,AND,MATH,    F211,MATHEMATICS III,PRE,,,,,,
BITS,F317,THEORETICAL NEUROSCIENCE,PHY,F111,MECHANICS OSCILLATIONS AND WAVES,PRE,AND,BIO,F111,GENERAL BIOLOGY,PRE,AND,MATH ,F211,MATHEMATICS III,PRE,AND,MATH,F113,PROBABILITY AND STATISTICS,,
BITS,F341,SHORT FILM & VIDEO PROD,,,,,,,,,,,,,,,,,,,,
BITS,F342,HUMANITIES & DESIGN,,,,,,,,,,,,,,,,,,,,
BITS,F343,FUZZY LOGIC & APPL,,,,,,,,,,,,,,,,,,,,
BITS,F364,HUMAN COMP INTERACTION,,,,,,,,,,,,,,,,,,,,
BITS,F385,INTRO TO GENDER STUDIES,,,,,,,,,,,,,,,,,,,,
BITS,F386,QUANTUM INFO & COMPUTING,,,,,,,,,,,,,,,,,,,,
BITS,F399,HUMANISTIC THEORIES OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
BITS,F412,PRACTICE SCHOOL II,,,,,,,,,,,,,,,,,,,,
BITS,F415,INTRODUCTION TO MEMS,,,,,,,,,,,,,,,,,,,,
BITS,F418,INTRODUCTION TO BIOMEDICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,
BITS,F421,THESIS,,,,,,,,,,,,,,,,,,,,
BITS,F430,RENEWABLE ENERGY LABORATORY,,,,,,,,,,,,,,,,,,,,
BITS,F437,TECHNICAL COMMUNICATION,,,,,,,,,,,,,,,,,,,,
BITS,F463,CRYPTOGRAPHY,,,,,,,,,,,,,,,,,,,,
BITS,F464,MACHINE LEARNING,,,,,,,,,,,,,,,,,,,,
BITS,F467,BIOETHICS & BIOSAFETY,,,,,,,,,,,,,,,,,,,,
CE,F211,MECHANICS OF SOLIDS,,,,,,,,,,,,,,,,,,,,
CE,F212,TRANSPORT PHENOMENA,,,,,,,,,,,,,,,,,,,,
CE,F213,SURVEYING,,,,,,,,,,,,,,,,,,,,
CE,F214,CONSTRUCTION MATERIALS,,,,,,,,,,,,,,,,,,,,
CE,F241,ANALYSIS OF STRUCTURES,CE,    F211,MECHANICS OF SOLIDS,PRE,,,,,,,,,,,,,,,,
CE,F242,CONSTRUCTION PLAN & TECH,,,,,,,,,,,,,,,,,,,,
CE,F243,SOIL MECHANICS,,,,,,,,,,,,,,,,,,,,
CE,F244,HIGHWAY ENGINEERING,,,,,,,,,,,,,,,,,,,,
CE,F311,DES OF CONCRETE STRUCT,CE,    F211,MECHANICS OF SOLIDS,PRE,,,,,,,,,,,,,,,,
CE,F312,HYDRAULIC ENGINEERING,CE,    F212,TRANSPORT PHENOMENA,PRE,,,,,,,,,,,,,,,,
CE,F313,FOUNDATION ENGINEERING,CE,    F243,SOIL MECHANICS,PRE,,,,,,,,,,,,,,,,
CE,F323,INTRO TO ENVIRN ENGG,,,,,,,,,,,,,,,,,,,,
CE,F324,NUMERICAL ANALYSIS,,,,,,,,,,,,,,,,,,,,
CE,F341,HYDRO & WATER RES ENGG,CE,    F212,TRANSPORT PHENOMENA,PRE,,,,,,,,,,,,,,,,
CE,F342,WATER & WASTEWATER TREAT,,,,,,,,,,,,,,,,,,,,
CE,F343,DES OF STEEL STRUCTURES,CE,    F211,MECHANICS OF SOLIDS,PRE,,,,,,,,,,,,,,,,
CE,F345,COMPUTATIONAL GEOMECHANICS,CE,F211,MECHANICS OF SOLIDS,PRE,,CE ,F243,SOIL MECHANICS,PRE,,CE,F313,FOUNDATION ENGINEERING,,,,,,,
CE,F411,OPER RESEARCH FOR ENGIN,MATH,    F113,PROBABILITY & STATISTICS,PRE,,,,,,,,,,,,,,,,
CE,F412,DISASTER MANAGEMENT,,,,,,,,,,,,,,,,,,,,
CE,F413,ADV STRUCTURAL DESIGN,CE,    F311,DES OF CONCRETE STRUCT,PRE,AND,CE,    F343,DES OF STEEL STRUCTURES,CO,,,,,,,,,,,
CE,F415,DES OF PREST CONC STRUCT,CE,    F311,DES OF CONCRETE STRUCT,CO,,,,,,,,,,,,,,,,
CE,F416,COMP APPLI IN CIVIL ENGG,,,,,,,,,,,,,,,,,,,,
CE,F417,APP OF AI IN CIVIL ENGG,,,,,,,,,,,,,,,,,,,,
CE,F419,GEOTECH EQ ENG & MC FOUN,CE,    F243,SOIL MECHANICS,PRE,,,,,,,,,,,,,,,,
CE,F420,INTRO  TO BRIDGE ENGG,CE,    F311,DES OF CONCRETE STRUCT,CO,AND,CE,    F343,DES OF STEEL STRUCTURES,PRE,,,,,,,,,,,
CE,F421,A & D OF FRP REIN CON ST,CE,    F311,DES OF CONCRETE STRUCT,CO,,,,,,,,,,,,,,,,
CE,F422,URBAN HYDROLOGY,,,,,,,,,,,,,,,,,,,,
CE,F423,GREEN BUILD & ENER CONSE,,,,,,,,,,,,,,,,,,,,
CE,F425,AIRPORT RAIL & WATERWAYS,,,,,,,,,,,,,,,,,,,,
CE,F426,GEOSYN & REIN SOIL STR,CE,    F243,SOIL MECHANICS,PRE,,,,,,,,,,,,,,,,
CE,F427,SYSTEM MODELING & ANAL,,,,,,,,,,,,,,,,,,,,
CE,F428,EARTHQUAKE RES DES & CON,CE,    F311,DES OF CONCRETE STRUCT,CO,,,,,,,,,,,,,,,,
CE,F429,DES OF FOUNDATION SYSTEM,CE,    F243,SOIL MECHANICS,PRE,,,,,,,,,,,,,,,,
CE,F430,DES OF ADV CONC STRUCT,CE,    F311,DES OF CONCRETE STRUCT,PRE,,,,,,,,,,,,,,,,
CE,F431,PRIN OF GEO INFO SYS,,,,,,,,,,,,,,,,,,,,
CE,F432,STRUCTURAL DYNAMICS,CE,    F241,ANALYSIS OF STRUCTURES,PRE,,,,,,,,,,,,,,,,
CE,F433,REMOTE SENS & IMAGE PROC,,,,,,,,,,,,,,,,,,,,
CE,F434,ENV IMPACT ASSESSMENT,,,,,,,,,,,,,,,,,,,,
CE,F435,INTRODUCTION TO FEM,CE,    F241,ANALYSIS OF STRUCTURES,PRE,,,,,,,,,,,,,,,,
CE,G544,FRACTURE MECHANICS OF CONCRETE STRUCTURES,,,,,,,,,,,,,,,,,,,,
CE,G562,ADVANCED CONCRETE TECHNOLOGY,CE,F214,CONSTRUCTION MATERIALS,PRE,,,,,,,,,,,,,,,,
CHE,F211,CHEMICAL PROCESS CALCULA,,,,,,,,,,,,,,,,,,,,
CHE,F212,FLUID MECHANICS,,,,,,,,,,,,,,,,,,,,
CHE,F213,CHEM ENGG THERMODYNAMICS,BITS,    F111,THERMODYNAMICS,PRE,,,,,,,,,,,,,,,,
CHE,F214,ENGINEERING CHEMISTRY,CHEM,    F111,GENERAL CHEMISTRY,PRE,,,,,,,,,,,,,,,,
CHE,F241,HEAT TRANSFER,,,,,,,,,,,,,,,,,,,,
CHE,F242,NUM METHOD FOR CHEM ENGG,MATH,    F211,MATHEMATICS III,PRE,,,,,,,,,,,,,,,,
CHE,F243,MATERIAL SCIENCE & ENGG,,,,,,,,,,,,,,,,,,,,
CHE,F244,SEPARATION PROCESSES I,,,,,,,,,,,,,,,,,,,,
CHE,F311,KINETICS & REACTOR DESIG,,,,,,,,,,,,,,,,,,,,
CHE,F312,CHEMICAL ENGG LAB I,CHE,    F214,ENGINEERING CHEMISTRY,CO,AND,CHE,    F212,FLUID MECHANICS,CO,AND,CHE,    F241,HEAT TRANSFER,CO,AND,CHE,    F244,SEPARATION PROCESSES I,CO,
CHE,F313,SEPARATION PROCESSES II,CHE,    F244,SEPARATION PROCESSES I,,,,,,,,,,,,,,,,,
CHE,F314,PROCESS DES PRINCIPLES I,,,,,,,,,,,,,,,,,,,,
CHE,F342,PROCESS DYN & CONTROL,,,,,,,,,,,,,,,,,,,,
CHE,F343,PROCESS DES PRINCIPLE II,CHE,    F314,PROCESS DES PRINCIPLES I,PRE,AND,CHE,    F313,SEPARATION PROCESSES II,PRE,,,,,,,,,,,
CHE,F411,ENVIR POLLUTION CONTROL,CHE,    F244,SEPARATION PROCESSES I,PRE,,,,,,,,,,,,,,,,
CHE,F412,PROCESS EQUIPMENT DESIGN,CHE,    F341,CHEMICAL ENGG LAB II,CO,,,,,,,,,,,,,,,,
CHE,F413,PROCESS PLANT SAFETY,CHE,    F341,CHEMICAL ENGG LAB II,CO,,,,,,,,,,,,,,,,
CHE,F414,TRANSPORT PHENOMENA,CHE,    F212,FLUID MECHANICS,PRE,AND,CHE,    F241,HEAT TRANSFER,PRE,AND,CHE,    F244,SEPARATION PROCESSES I,PRE,,,,,,
CHE,F415,MOLEC & STAT THERMODYN,CHE,    F213,CHEM ENGG THERMODYNAMICS,PRE,,,,,,,,,,,,,,,,
CHE,F416,PROCESS PLANT DES PRO I,CHE,    F312,CHEMICAL ENGG LAB I,PRE,,,,,,,,,,,,,,,,
CHE,F417,PROCESS PLANT DES PRO II,CHE,    F341,CHEMICAL ENGG LAB II,PRE,,,,,,,,,,,,,,,,
CHE,F418,MODEL & SIMU IN CHE ENGG,CHE,F242,NUMERICAL METHODS FOR CHEMICAL ENGINEERS,PRE,AND,CHE,F311,KINETICS AND REACTOR DESIGN,PRE,,,,,,,,,,,
CHE,F419,CHEMICAL PROCESS TECH,CHE,    F341,CHEMICAL ENGG LAB II,CO,,,,,,,,,,,,,,,,
CHE,F421,BIOCHEMICAL ENGINEERING,CHE,    F311,KINETICS & REACTOR DESIG,CO,,,,,,,,,,,,,,,,
CHE,F422,PETROLEUM REFINING TECHNOLOGY,CHE,F244,SEPARATION PROCESSES I,PRE,,,,,,,,,,,,,,,,
CHE,F433,CORROSION ENGINEERING,CHE,F243,MATERIAL SCIENCE & ENGINEERING,PRE,OR,ME,F213,MATERIAL SCIENCE AND ENGINEERING,PRE,OR,MF,F213,MATERIAL SCIENCE AND ENGINEERING,PRE,,,,,,
CHE,F471,ADVANCE PROCESS CONTROL,CHE,    F342,PROCESS DYN & CONTROL,PRE,,,,,,,,,,,,,,,,
CHE,F491,SPECIAL PROJECTS,,,,PRE,,,,,,,,,,,,,,,,
CHE,G511,Fluidization Engineering,CHE,F311,Kinetics & Reactor Design ,PRE,,,,,,,,,,,,,,,,
CHE,G512,Petroleum Refining and Petrochemicals,CHE,F312,Chemical Engineering Lab � I  ,PRE,,,,,,,,,,,,,,,,
CHE,G513,Environmental Management Systems,,,,,,,,,,,,,,,,,,,,
CHE,G522,Polymer Technology,CHE,F311,Kinetics & Reactor Design ,PRE,,,,,,,,,,,,,,,,
CHE,G523,Mathematical Methods in Chemical Engineering,CHE,F312,Chemical Engineering Lab � I  ,PRE,,,,,,,,,,,,,,,,
CHE,G524,Introduction to Multiphase flow,CHE,F414,Transport Phenomena ,PRE,,,,,,,,,,,,,,,,
CHE,G526,Nuclear Engineering,CHE,F312,Chemical Engineering Lab � I  ,PRE,,,,,,,,,,,,,,,,
CHE,G527,Energy Conservation and Management,,,,,,,,,,,,,,,,,,,,
CHE,G528,Introduction to Nanoscience & Technology,CHE,F243,Material Science & Engineering ,PRE,,,,,,,,,,,,,,,,
CHE,G529,Paper and Pulp Technology,CHE,F314,Process Design Principles I ,PRE,,,,,,,,,,,,,,,,
CHE,G532,Alternate Energy Resources,,,,,,,,,,,,,,,,,,,,
CHE,G533,Petroleum Product Characterization,CHE,F312,Chemical Engineering Lab � I  ,PRE,,,,,,,,,,,,,,,,
CHE,G551,Advanced Separation Technology,CHE,F313,Separation Processes II ,PRE,,,,,,,,,,,,,,,,
CHE,G552,ADVANCED TRANSPORT PHENOMENA,,,,,,,,,,,,,,,,,,,,
CHE,G553,STATISTICAL THERMODYNAMICS,,,,,,,,,,,,,,,,,,,,
CHE,G554,COMPUTATIONAL FLUID DYNAMICS,,,,,,,,,,,,,,,,,,,,
CHE,G556,ELECTROCHEMICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,
CHE,G557,ENERGY SYSTEMS ENGINEERING,,,,,,,,,,,,,,,,,,,,
